"道具ID："	"物品名称20ABCD0E装备A=第几套B=职业（0通用1丐帮2少林3全真）C=套装（0无属性1阴2阳3内4外）D=品质E=装备subType700101开始是宝石"	"图标ID。填入icon的资源的名称"	"掉落模型ID"	"分类。1=货币，2=装备,3=消耗品，4=宝物，5=礼包，6=宝石，7=任务,8=英雄,9=材料"	"子类型，标识道具子类对于装备，1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品对于消耗品1=一般玩法消耗（用于跟道具类型无关的消耗），2=强化药剂，3=鉴定符,4=龙经验丹，5=自动使用血瓶，6=经验丹，7=喇叭8升级丹9=迷城重置符10=大血包11=大魔包12大魔瓶13尊爵体验卡，14=合成材料，15=合成符石，16=时装碎片，17=坐骑碎片19=宠物碎片20=秘籍升阶道具21=秘籍技能格开启道具,22=华山论剑卷轴,23单人首领卷轴=,24=叱咤王府卷轴,25=海上洪涛卷轴,26=千刃绝顶卷轴,27=大军西征卷轴,28=柔然入寇卷轴,29=未鉴定宝图,29=已鉴定宝图，31=再入琅琊卷轴32=280组队本33=300组队本对于宝物，1=坐骑10=宠物11=背旗12=法阵对于宝石，数字表示宝石种类，共9种对于礼包：1=普通礼包，2=时装包对于英雄：1.英雄碎片2.根骨丹3.助战相关道具4.武魂相关道具5.秘籍相关道具."	"使用等级"	"品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色"	"职业限制。1=丐帮可用，2=少林可用，4=全真可用。填入和值"	"物品规则读ItemRuleConfig里的定义必填项"	"出售价格"	"叠加数量叠加多个与可计时冲突，警告！"	"拾取方式。0=手动拾取，1=自动拾取，2=自动拾取即使用，3=拾取进公会仓库，4=购买并自动使用（时装礼包）"	"物品描述"	"物品使用脚本"	"物品使用条件，[type,param0,param1]，type=1物品ID，物品数量type=2金币，所有金币，充值金币"	"特定场景中使用。0=副本，1=野外地图，2=主城"	"物品寿命（分）与ItemRuleConfig表中的计时规则配合生效"	"掉落拾取时是否有成就提示"	"是否记录log"	"是否批量使用"	"是否连续使用"	"是否快捷使用"	"装备显示"	"装备显示"	"装备显示"	"特殊显示"	"使用时打开功能界面"	"使用性别0=通用1=男2=女"	"获得途径"	""	""	""	""	
"100077"	"再入琅琊卷轴"	"icon_item_png,juanzhou"	"100005"	"3"	"31"	"1"	"3"	"7"	"3"	"1000"	"99"	"1"	"使用后增加再入琅琊副本1次，点击右键可快速使用\n[green]产出途径：活动"	""	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100078"	"280组队本卷轴"	"icon_item_png,juanzhou"	"100005"	"3"	"32"	"1"	"3"	"7"	"3"	"1000"	"99"	"1"	"使用后增加280副本1次，点击右键可快速使用\n[green]产出途径：活动"	""	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100079"	"300组队本卷轴"	"icon_item_png,juanzhou"	"100005"	"3"	"33"	"1"	"3"	"7"	"3"	"1000"	"99"	"1"	"使用后增加300副本1次，点击右键可快速使用\n[green]产出途径：活动"	""	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"100080"	"未鉴定的精华"	"icon_item1,item_cucaojinghua"	"100005"	"5"	"1"	"55"	"3"	"7"	"3"	"0"	"9999"	"1"	"需要在背包中使用\n[white]蕴含充沛能量的原石，或许可以给法宝充能，具体的用途需要鉴定后才会知道\n[green]产出途径：PvP战场"	"OnItemUse_UseTreasureBox,2100080,1,0,0"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"商店"	""	""	""	""	
"100081"	"金之精华"	"icon_item1,item_jinzhijinghua"	"100005"	"3"	"1"	"55"	"3"	"7"	"3"	"2000"	"9999"	"1"	"法宝充能所需材料\n[white]蕴含金系能量的材料，可以给法宝注入能量\n[green]产出途径：PvP战场、家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"60"	""	"商店"	""	""	""	""	
"100082"	"木之精华"	"icon_item1,item_muzhijinghua"	"100005"	"3"	"1"	"55"	"3"	"7"	"3"	"2000"	"9999"	"1"	"法宝充能所需材料\n[white]蕴含木系能量的材料，可以给法宝注入能量\n[green]产出途径：PvP战场、家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"60"	""	"商店"	""	""	""	""	
"100083"	"水之精华"	"icon_item1,item_shuizhijinghua"	"100005"	"3"	"1"	"55"	"3"	"7"	"3"	"2000"	"9999"	"1"	"法宝充能所需材料\n[white]蕴含水系能量的材料，可以给法宝注入能量\n[green]产出途径：PvP战场、家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"60"	""	"商店"	""	""	""	""	
"100084"	"火之精华"	"icon_item1,item_huozhijinghua"	"100005"	"3"	"1"	"55"	"3"	"7"	"3"	"2000"	"9999"	"1"	"法宝充能所需材料\n[white]蕴含火系能量的材料，可以给法宝注入能量\n[green]产出途径：PvP战场、家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"60"	""	"商店"	""	""	""	""	
"100085"	"土之精华"	"icon_item1,item_tuzhijinghua"	"100005"	"3"	"1"	"55"	"3"	"7"	"3"	"2000"	"9999"	"1"	"法宝充能所需材料\n[white]蕴含土系能量的材料，可以给法宝注入能量\n[green]产出途径：PvP战场、家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"60"	""	"商店"	""	""	""	""	
"100086"	"备用1"	"icon_item_png,qianghuashi2"	"100004"	"3"	"1"	"1"	"2"	"7"	"3"	"1"	"9999"	"1"	"用于道具兑换活动的神奇道具\n[green]产出途径：世界掉落."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"世界掉落"	""	""	""	""	
"100087"	"备用2"	"icon_item_png,qianghuashi3"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"1"	"9999"	"1"	"用于道具兑换活动的神奇道具\n[green]产出途径：世界掉落."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"世界掉落"	""	""	""	""	
"100088"	"备用3"	"icon_item_png,qianghuashi1"	"100004"	"3"	"1"	"1"	"4"	"7"	"3"	"1"	"9999"	"1"	"用于道具兑换活动的神奇道具\n[green]产出途径：世界掉落."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"世界掉落"	""	""	""	""	
"100089"	"备用4"	"icon_item_png,qianghuashi4"	"100004"	"3"	"1"	"1"	"5"	"7"	"3"	"1"	"9999"	"1"	"用于道具兑换活动的神奇道具\n[green]产出途径：世界掉落."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"世界掉落"	""	""	""	""	
"100101"	"星魂"	"icon_item1,item_xinghun"	"100005"	"3"	"1"	"34"	"2"	"7"	"3"	"1"	"9999"	"1"	"侍从升级所需道具\n[white]能让侍从实力快速提升的神奇丹药\n[green]产出途径：挑战副本、华林射鬼"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"53"	""	"商店"	""	""	""	""	
"100102"	"心法残页"	"icon_item_png,xinjian"	"100015"	"3"	"1"	"49"	"3"	"7"	"3"	"5"	"9999"	"1"	"侍从心法修炼所需道具\n[white]破碎的秘籍残页，上面记载着侍从心法修炼法门\n[green]产出途径：挑战副本"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"55"	""	"商店"	""	""	""	""	
"100103"	"好感丹"	"icon_item_png,qianghuashi1"	"100004"	"3"	"1"	"25"	"1"	"7"	"3"	"10"	"9999"	"1"	"可以提升侍从好感度的神奇丹药\n[white]侍从好感度越高则越忠心，杀敌时威力越大\n[green]产出途径：商城."	""	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	"52"	""	"商店"	""	""	""	""	
"100111"	"一阶侍从佩剑"	"icon_item1,sc_wuqi"	"100004"	"3"	"1"	"70"	"1"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100112"	"一阶侍从胸甲"	"icon_item1,sc_yifu"	"100004"	"3"	"1"	"70"	"1"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100113"	"一阶侍从腰带"	"icon_item1,sc_yaodai"	"100004"	"3"	"1"	"70"	"1"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100114"	"一阶侍从战靴"	"icon_item1,sc_xiezi"	"100004"	"3"	"1"	"70"	"1"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100121"	"二阶侍从佩剑"	"icon_item1,sc_wuqi"	"100004"	"3"	"1"	"70"	"2"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100122"	"二阶侍从胸甲"	"icon_item1,sc_yifu"	"100004"	"3"	"1"	"70"	"2"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100123"	"二阶侍从腰带"	"icon_item1,sc_yaodai"	"100004"	"3"	"1"	"70"	"2"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100124"	"二阶侍从战靴"	"icon_item1,sc_xiezi"	"100004"	"3"	"1"	"70"	"2"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100131"	"三阶侍从佩剑"	"icon_item1,sc_wuqi"	"100004"	"3"	"1"	"70"	"3"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100132"	"三阶侍从胸甲"	"icon_item1,sc_yifu"	"100004"	"3"	"1"	"70"	"3"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100133"	"三阶侍从腰带"	"icon_item1,sc_yaodai"	"100004"	"3"	"1"	"70"	"3"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100134"	"三阶侍从战靴"	"icon_item1,sc_xiezi"	"100004"	"3"	"1"	"70"	"3"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100141"	"四阶侍从佩剑"	"icon_item1,sc_wuqi"	"100004"	"3"	"1"	"70"	"4"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100142"	"四阶侍从胸甲"	"icon_item1,sc_yifu"	"100004"	"3"	"1"	"70"	"4"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100143"	"四阶侍从腰带"	"icon_item1,sc_yaodai"	"100004"	"3"	"1"	"70"	"4"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100144"	"四阶侍从战靴"	"icon_item1,sc_xiezi"	"100004"	"3"	"1"	"70"	"4"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100151"	"五阶侍从佩剑"	"icon_item1,sc_wuqi"	"100004"	"3"	"1"	"70"	"5"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100152"	"五阶侍从胸甲"	"icon_item1,sc_yifu"	"100004"	"3"	"1"	"70"	"5"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100153"	"五阶侍从腰带"	"icon_item1,sc_yaodai"	"100004"	"3"	"1"	"70"	"5"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100154"	"五阶侍从战靴"	"icon_item1,sc_xiezi"	"100004"	"3"	"1"	"70"	"5"	"7"	"3"	"1"	"9999"	"1"	"侍从注灵所需材料\n[white]注灵可将注灵材料的神奇能量转化成给侍从的灵魂能量，使侍从威力大增\n[green]产出途径：侍从寻宝"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"56"	""	"商店"	""	""	""	""	
"100201"	"豪华装备材料箱"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"10000"	"100"	"1"	"[green]华丽的工具箱，里面装有大量升星石"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"VIP奖励"	""	""	""	""	
"100202"	"装备材料箱"	"icon_item_png,baoxiang1_1"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"1000"	"100"	"1"	"[green]华丽的工具箱，里面装有大量升星石"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"日常奖励"	""	""	""	""	
"100203"	"古老的宝物匣"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"1000"	"100"	"1"	"[green]一个华丽的盒子，虽然有些年头了，但仍然能看出它的价值。里面可能装着传说中的法宝"	"OnItemUse_UseTreasureBox,2100203,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"世界boss"	""	""	""	""	
"100204"	"守卫战宝箱"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"1000"	"100"	"1"	"成功完成守卫战后获得的宝箱，可以开出各类稀有道具"	"OnItemUse_UseTreasureBox,2100204,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"守卫战"	""	""	""	""	
"100205"	"篝火欢庆礼包"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"1000"	"100"	"1"	"漂亮的礼品盒，只有篝火狂欢中的幸运儿才能拥有。里面装着各种神秘奖励"	"OnItemUse_UseTreasureBox,2100205,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"世界boss"	""	""	""	""	
"100206"	"铜币箱"	"icon_item_png,baoxiang1_1"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"1000"	"100"	"1"	"[green]打开后可获得10w铜币"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"日常奖励"	""	""	""	""	
"100207"	"神秘宝箱"	"icon_item_png,baoxiang2_1"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"1000"	"100"	"1"	"[green]藏宝图中的箱子，不知道里面装着什么"	"OnItemUse_UseTreasureBox,2100207,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"日常奖励"	""	""	""	""	
"100301"	"暂不使用-绿色用100045"	"icon_item_png,qianghuashi2"	"100004"	"3"	"1"	"1"	"2"	"7"	"3"	"1"	"9999"	"1"	"用于道具兑换活动的神奇道具\n[green]产出途径：世界掉落."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"世界掉落"	""	""	""	""	
"100302"	"兑换券"	"icon_item1,quan2"	"100004"	"3"	"1"	"1"	"2"	"7"	"3"	"1"	"9999"	"1"	"精致的礼券，可以在道具兑换活动中使用\n[green]产出途径：世界掉落."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"世界掉落"	""	""	""	""	
"100303"	"礼品券"	"icon_item1,quan1"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"1"	"9999"	"1"	"精致的礼券，可以在道具兑换活动中使用\n[green]产出途径：世界掉落."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"世界掉落"	""	""	""	""	
"100304"	"金色兑换道具"	"icon_item_png,qianghuashi1"	"100004"	"3"	"1"	"1"	"4"	"7"	"3"	"1"	"9999"	"1"	"用于道具兑换活动的神奇道具\n[green]产出途径：世界掉落."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"世界掉落"	""	""	""	""	
"100305"	"橙色兑换道具"	"icon_item_png,qianghuashi4"	"100004"	"3"	"1"	"1"	"5"	"7"	"3"	"1"	"9999"	"1"	"用于道具兑换活动的神奇道具\n[green]产出途径：世界掉落."	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"世界掉落"	""	""	""	""	
"110003"	"潜能丹"	"icon_item1,icon_dan_ride"	"100004"	"3"	"1"	"20"	"3"	"7"	"3"	"100"	"999"	"1"	"坐骑、宠物、背旗的潜能丹，可直接提升属性\n[green]产出途径：家园奇珍阁、挂机掉落"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"67"	""	"坐骑突破所需材料，内含坐骑魂力，可使坐骑突破当前等阶。\n[green]产出途径：商城、副本"	""	""	""	""	
"110101"	"坐骑饲料"	"icon_item1,item_zuoqisiliao"	"100004"	"3"	"1"	"20"	"2"	"7"	"3"	"1000"	"999"	"1"	"坐骑升级所需材料\n喂养之后可让坐骑升级的神奇饲料，坐骑将变得更加强壮，伴你更好的行走江湖\n[green]产出途径：试剑云锦、帮派商店、各类活动宝箱"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"67"	""	"坐骑升级所需材料，可在坐骑系统中将月影石注入给坐骑，提升坐骑等级\n[green]产出途径：商城、副本"	""	""	""	""	
"110102"	"坐骑精魂"	"icon_item1,item_zuoqijingpo"	"100004"	"3"	"1"	"29"	"3"	"7"	"3"	"2000"	"999"	"1"	"坐骑突破所需材料\n一种神奇的古老魂魄，可让坐骑外观发生变化，看起来更加威风凛凛\n[green]产出途径：试剑云锦、帮派商店、各类活动宝箱"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"68"	""	"坐骑突破所需材料，内含坐骑魂力，可使坐骑突破当前等阶。\n[green]产出途径：商城、副本"	""	""	""	""	
"110103"	"坐骑潜能丹"	"icon_item1,icon_dan_ride"	"100004"	"3"	"1"	"20"	"3"	"7"	"3"	"100"	"999"	"1"	"可直接提升坐骑属性的神秘丹药\n坐骑等阶越高可服食数量越多，坐骑威力将增加越多，伴你更好的行走江湖\n[green]产出途径：家园奇珍阁、挂机掉落"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"67"	""	"坐骑突破所需材料，内含坐骑魂力，可使坐骑突破当前等阶。\n[green]产出途径：商城、副本"	""	""	""	""	
"110110"	"坐骑装备箱"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"[green]华丽的宝箱，里面装有坐骑装备"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	"67"	""	"副本掉落"	""	""	""	""	
"110111"	"护盔"	"icon_item1,ride2"	"100004"	"3"	"1"	"80"	"3"	"7"	"3"	"100"	"9999"	"1"	"坐骑兽魂强化所需材料\n[white]注入后可将材料的神奇能量转化成给坐骑的兽魂能量，使坐骑威力大增\n[green]产出途径：家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"69"	""	"商店"	""	""	""	""	
"110112"	"缰绳"	"icon_item1,ride3"	"100004"	"3"	"1"	"80"	"3"	"7"	"3"	"100"	"9999"	"1"	"坐骑兽魂强化所需材料\n[white]注入后可将材料的神奇能量转化成给坐骑的兽魂能量，使坐骑威力大增\n[green]产出途径：家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"69"	""	"商店"	""	""	""	""	
"110113"	"护鞍"	"icon_item1,ride1"	"100004"	"3"	"1"	"80"	"3"	"7"	"3"	"100"	"9999"	"1"	"坐骑兽魂强化所需材料\n[white]注入后可将材料的神奇能量转化成给坐骑的兽魂能量，使坐骑威力大增\n[green]产出途径：家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"69"	""	"商店"	""	""	""	""	
"110114"	"蹄甲"	"icon_item1,ride4"	"100004"	"3"	"1"	"80"	"3"	"7"	"3"	"100"	"9999"	"1"	"坐骑兽魂强化所需材料\n[white]注入后可将材料的神奇能量转化成给坐骑的兽魂能量，使坐骑威力大增\n[green]产出途径：家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"69"	""	"商店"	""	""	""	""	
"110115"	"坐骑装备"	"icon_item_png,juanzhou"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"100"	"9999"	"1"	"坐骑兽魂所需材料"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"69"	""	"商店"	""	""	""	""	
"110201"	"宠物饲料"	"icon_item1,item_chongwusiliao"	"100004"	"3"	"1"	"60"	"2"	"7"	"3"	"1000"	"999"	"1"	"宠物升级所需材料\n喂养之后可让宠物升级的神奇饲料，宠物将变得更加有灵气，伴你更好的行走江湖\n[green]产出途径：试剑云锦、帮派商店、各类活动宝箱"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"62"	""	"坐骑升级所需材料，可在坐骑系统中将月影石注入给坐骑，提升坐骑等级\n[green]产出途径：商城、副本"	""	""	""	""	
"110202"	"宠物精魂"	"icon_item1,item_chongwujingpo"	"100004"	"3"	"1"	"60"	"3"	"7"	"3"	"2000"	"999"	"1"	"宠物突破所需材料\n一种神奇的古老魂魄，可让宠物外观发生变化，看起来更加可爱灵动\n[green]产出途径：试剑云锦、帮派商店、各类活动宝箱"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"63"	""	"坐骑突破所需材料，内含坐骑魂力，可使坐骑突破当前等阶。\n[green]产出途径：商城、副本"	""	""	""	""	
"110203"	"宠物潜能丹"	"icon_item1,icon_dan_pet"	"100004"	"3"	"1"	"60"	"3"	"7"	"3"	"100"	"999"	"1"	"可直接提升宠物属性的神秘丹药\n宠物等阶越高可服食数量越多，宠物威力将增加越多，伴你更好的行走江湖\n[green]产出途径：家园奇珍阁、挂机掉落"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"62"	""	"坐骑突破所需材料，内含坐骑魂力，可使坐骑突破当前等阶。\n[green]产出途径：商城、副本"	""	""	""	""	
"110211"	"项圈"	"icon_item1,pet_1"	"100004"	"3"	"1"	"80"	"3"	"7"	"3"	"100"	"9999"	"1"	"宠物兽魂强化所需材料\n[white]注入后可将材料的神奇能量转化成给宠物的兽魂能量，使宠物威力大增\n[green]产出途径：家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"64"	""	"商店"	""	""	""	""	
"110212"	"护腕"	"icon_item1,pet_2"	"100004"	"3"	"1"	"80"	"3"	"7"	"3"	"100"	"9999"	"1"	"宠物兽魂强化所需材料\n[white]注入后可将材料的神奇能量转化成给宠物的兽魂能量，使宠物威力大增\n[green]产出途径：家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"64"	""	"商店"	""	""	""	""	
"110213"	"腰带"	"icon_item1,pet3"	"100004"	"3"	"1"	"80"	"3"	"7"	"3"	"100"	"9999"	"1"	"宠物兽魂强化所需材料\n[white]注入后可将材料的神奇能量转化成给宠物的兽魂能量，使宠物威力大增\n[green]产出途径：家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"64"	""	"商店"	""	""	""	""	
"110214"	"披风"	"icon_item1,pet4"	"100004"	"3"	"1"	"80"	"3"	"7"	"3"	"100"	"9999"	"1"	"宠物兽魂强化所需材料\n[white]注入后可将材料的神奇能量转化成给宠物的兽魂能量，使宠物威力大增\n[green]产出途径：家园奇珍阁"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"64"	""	"商店"	""	""	""	""	
"110215"	"宠物装备"	"icon_item_png,juanzhou"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"100"	"9999"	"1"	"宠物兽魂所需材料"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	"64"	""	"商店"	""	""	""	""	
