"ID(玩家等级)"	"元宝领取奖励比例"	"免费领取奖励比例"	"消耗道具ID/每日消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（跨服副本40级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（经验本46级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（坐骑本52级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（单人首领60级开启）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（环式任务60级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（铜币本70级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"图标/奖励名称（跨服副本）"	"图标/奖励名称（经验本）"	"图标/奖励名称（坐骑本）"	"图标/奖励名称（单人首领）"	"图标/奖励名称（环式任务）"	"图标/奖励名称（铜币本）"	"图标/奖励名称（点石成金）"	"图标/奖励名称（魔王本）"	"图标/奖励名称（暗黑擂台）"	"图标/奖励名称（体力）"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	""	""	""	""	""	""	""	""	""	""	""	""	
"20"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"21"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"22"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"23"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"24"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"25"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"26"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"27"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"28"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"29"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"30"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"31"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"32"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"33"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"34"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"35"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"36"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"37"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"38"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"39"	"1.000000"	"0.500000"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"40"	"1.000000"	"0.500000"	"100003,80,680101,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"41"	"1.000000"	"0.500000"	"100003,80,680101,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"42"	"1.000000"	"0.500000"	"100003,80,680101,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"43"	"1.000000"	"0.500000"	"100003,80,680101,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
