"特殊掉落ID"	"掉落包描述"	"职业限制(1=对战士可掉;2=对弓手可掉;4=对法师可掉;7=对所有职业可掉)"	"节日特殊掉落1=圣诞"	"击杀者等级限制"	"击杀者变量条件变量,区间1,2区间1：0=挂机迷城，用逗号分隔需要其他和必焕说区间2：挂机迷城击杀怪物数量上下限，用逗号分隔"	"掉落数量"	"掉落1"	"掉落2"	"掉落3"	"掉落4"	"掉落5"	"掉落6"	"掉落7"	"掉落8"	"掉落9"	"掉落10"	"掉落11"	"掉落12"	"掉落13"	"掉落14"	"掉落15"	"掉落16"	"掉落17"	"掉落18"	"掉落19"	"掉落20"	"掉落21"	"掉落22"	"掉落23"	"掉落24"	"掉落25"	"掉落26"	"掉落27"	"掉落28"	"掉落29"	"掉落30"	""	""	""	""	""	""	""	""	""	""	
"1038402"	"280级金装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20841008,100"	"1,20841009,100"	"1,20841010,100"	"1,20841011,100"	""	""	""	""	""	""	"1,20841203,100"	"1,20841212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038403"	"280级金装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20841008,100"	"1,20841009,100"	"1,20841010,100"	"1,20841011,100"	""	""	""	""	""	""	""	""	""	""	"1,20841303,100"	"1,20841312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038500"	"280级橙装平分"	"7"	""	""	""	"1"	"2,1038501,100"	"2,1038502,100"	"2,1038503,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038501"	"280级橙装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20851008,100"	"1,20851009,100"	"1,20851010,100"	"1,20851011,100"	""	""	"1,20851103,100"	"1,20851112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038502"	"280级橙装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20851008,100"	"1,20851009,100"	"1,20851010,100"	"1,20851011,100"	""	""	""	""	""	""	"1,20851203,100"	"1,20851212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038503"	"280级橙装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20851008,100"	"1,20851009,100"	"1,20851010,100"	"1,20851011,100"	""	""	""	""	""	""	""	""	""	""	"1,20851303,100"	"1,20851312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038520"	"280级橙套装平分"	"7"	""	""	""	"1"	"2,1038521,100"	"2,1038522,100"	"2,1038523,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038521"	"280级橙套装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	"1,20852008,100"	"1,20852009,100"	"1,20852010,100"	"1,20852011,100"	""	""	"1,20852103,100"	"1,20852112,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038522"	"280级橙套装平分天威"	"2"	""	""	""	"1"	""	""	""	""	"1,20852008,100"	"1,20852009,100"	"1,20852010,100"	"1,20852011,100"	""	""	""	""	""	""	"1,20852203,100"	"1,20852212,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1038523"	"280级橙套装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	"1,20852008,100"	"1,20852009,100"	"1,20852010,100"	"1,20852011,100"	""	""	""	""	""	""	""	""	""	""	"1,20852303,100"	"1,20852312,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042100"	"40级绿装平分"	"7"	""	""	""	"1"	"2,1042101,100"	"2,1042102,100"	"2,1042103,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042101"	"40级绿装平分转剑"	"1"	""	""	""	"1"	"1,20211004,100"	"1,20211005,100"	"1,20211006,100"	"1,20211007,100"	""	""	""	""	"1,20211101,100"	"1,20211102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042102"	"40级绿装平分天威"	"2"	""	""	""	"1"	"1,20211004,100"	"1,20211005,100"	"1,20211006,100"	"1,20211007,100"	""	""	""	""	""	""	""	""	"1,20211201,100"	"1,20211202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042103"	"40级绿装平分云锦"	"4"	""	""	""	"1"	"1,20211004,100"	"1,20211005,100"	"1,20211006,100"	"1,20211007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20211301,100"	"1,20211302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042200"	"40级蓝装平分"	"7"	""	""	""	"1"	"2,1042201,100"	"2,1042202,100"	"2,1042203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042201"	"40级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20221004,100"	"1,20221005,100"	"1,20221006,100"	"1,20221007,100"	""	""	""	""	"1,20221101,100"	"1,20221102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042202"	"40级蓝装平分天威"	"2"	""	""	""	"1"	"1,20221004,100"	"1,20221005,100"	"1,20221006,100"	"1,20221007,100"	""	""	""	""	""	""	""	""	"1,20221201,100"	"1,20221202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042203"	"40级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20221004,100"	"1,20221005,100"	"1,20221006,100"	"1,20221007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20221301,100"	"1,20221302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042300"	"40级紫装平分"	"7"	""	""	""	"1"	"2,1042301,100"	"2,1042302,100"	"2,1042303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042301"	"40级紫装平分转剑"	"1"	""	""	""	"1"	""	""	""	""	""	""	""	""	"1,20231101,100"	"1,20231102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042302"	"40级紫装平分天威"	"2"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20231201,100"	"1,20231202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1042303"	"40级紫装平分云锦"	"4"	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1,20231301,100"	"1,20231302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043200"	"80级蓝装平分"	"7"	""	""	""	"1"	"2,1043201,100"	"2,1043202,100"	"2,1043203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043201"	"80级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20321004,100"	"1,20321005,100"	"1,20321006,100"	"1,20321007,100"	""	""	""	""	"1,20321101,100"	"1,20321102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043202"	"80级蓝装平分天威"	"2"	""	""	""	"1"	"1,20321004,100"	"1,20321005,100"	"1,20321006,100"	"1,20321007,100"	""	""	""	""	""	""	""	""	"1,20321201,100"	"1,20321202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043203"	"80级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20321004,100"	"1,20321005,100"	"1,20321006,100"	"1,20321007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20321301,100"	"1,20321302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043300"	"80级紫装平分"	"7"	""	""	""	"1"	"2,1043301,100"	"2,1043302,100"	"2,1043303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043301"	"80级紫装平分转剑"	"1"	""	""	""	"1"	""	""	"1,20331006,100"	"1,20331007,100"	""	""	""	""	"1,20331101,100"	"1,20331102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043302"	"80级紫装平分天威"	"2"	""	""	""	"1"	""	""	"1,20331006,100"	"1,20331007,100"	""	""	""	""	""	""	""	""	"1,20331201,100"	"1,20331202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043303"	"80级紫装平分云锦"	"4"	""	""	""	"1"	""	""	"1,20331006,100"	"1,20331007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20331301,100"	"1,20331302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043400"	"80级金装平分"	"7"	""	""	""	"1"	"2,1043401,100"	"2,1043402,100"	"2,1043403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043401"	"80级金装平分转剑"	"1"	""	""	""	"1"	"1,20341004,100"	"1,20341005,100"	"1,20341006,100"	"1,20341007,100"	""	""	""	""	"1,20341101,100"	"1,20341102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043402"	"80级金装平分天威"	"2"	""	""	""	"1"	"1,20341004,100"	"1,20341005,100"	"1,20341006,100"	"1,20341007,100"	""	""	""	""	""	""	""	""	"1,20341201,100"	"1,20341202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043403"	"80级金装平分云锦"	"4"	""	""	""	"1"	"1,20341004,100"	"1,20341005,100"	"1,20341006,100"	"1,20341007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20341301,100"	"1,20341302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043420"	"80级金套装平分"	"7"	""	""	""	"1"	"2,1043421,100"	"2,1043422,100"	"2,1043423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043421"	"80级金套装平分转剑"	"1"	""	""	""	"1"	"1,20342004,100"	"1,20342005,100"	"1,20342006,100"	"1,20342007,100"	""	""	""	""	"1,20342101,100"	"1,20342102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043422"	"80级金套装平分天威"	"2"	""	""	""	"1"	"1,20342004,100"	"1,20342005,100"	"1,20342006,100"	"1,20342007,100"	""	""	""	""	""	""	""	""	"1,20342201,100"	"1,20342202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1043423"	"80级金套装平分云锦"	"4"	""	""	""	"1"	"1,20342004,100"	"1,20342005,100"	"1,20342006,100"	"1,20342007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20342301,100"	"1,20342302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044200"	"120级蓝装平分"	"7"	""	""	""	"1"	"2,1044201,100"	"2,1044202,100"	"2,1044203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044201"	"120级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20421004,100"	"1,20421005,100"	"1,20421006,100"	"1,20421007,100"	""	""	""	""	"1,20421101,100"	"1,20421102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044202"	"120级蓝装平分天威"	"2"	""	""	""	"1"	"1,20421004,100"	"1,20421005,100"	"1,20421006,100"	"1,20421007,100"	""	""	""	""	""	""	""	""	"1,20421201,100"	"1,20421202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044203"	"120级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20421004,100"	"1,20421005,100"	"1,20421006,100"	"1,20421007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20421301,100"	"1,20421302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044300"	"120级紫装平分"	"7"	""	""	""	"1"	"2,1044301,100"	"2,1044302,100"	"2,1044303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044301"	"120级紫装平分转剑"	"1"	""	""	""	"1"	"1,20431004,100"	"1,20431005,100"	"1,20431006,100"	"1,20431007,100"	""	""	""	""	"1,20431101,100"	"1,20431102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044302"	"120级紫装平分天威"	"2"	""	""	""	"1"	"1,20431004,100"	"1,20431005,100"	"1,20431006,100"	"1,20431007,100"	""	""	""	""	""	""	""	""	"1,20431201,100"	"1,20431202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044303"	"120级紫装平分云锦"	"4"	""	""	""	"1"	"1,20431004,100"	"1,20431005,100"	"1,20431006,100"	"1,20431007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20431301,100"	"1,20431302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044400"	"120级金装平分"	"7"	""	""	""	"1"	"2,1044401,100"	"2,1044402,100"	"2,1044403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044401"	"120级金装平分转剑"	"1"	""	""	""	"1"	"1,20441004,100"	"1,20441005,100"	"1,20441006,100"	"1,20441007,100"	""	""	""	""	"1,20441101,100"	"1,20441102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044402"	"120级金装平分天威"	"2"	""	""	""	"1"	"1,20441004,100"	"1,20441005,100"	"1,20441006,100"	"1,20441007,100"	""	""	""	""	""	""	""	""	"1,20441201,100"	"1,20441202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044403"	"120级金装平分云锦"	"4"	""	""	""	"1"	"1,20441004,100"	"1,20441005,100"	"1,20441006,100"	"1,20441007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20441301,100"	"1,20441302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044420"	"120级金套装平分"	"7"	""	""	""	"1"	"2,1044421,100"	"2,1044422,100"	"2,1044423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044421"	"120级金套装平分转剑"	"1"	""	""	""	"1"	"1,20442004,100"	"1,20442005,100"	"1,20442006,100"	"1,20442007,100"	""	""	""	""	"1,20442101,100"	"1,20442102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044422"	"120级金套装平分天威"	"2"	""	""	""	"1"	"1,20442004,100"	"1,20442005,100"	"1,20442006,100"	"1,20442007,100"	""	""	""	""	""	""	""	""	"1,20442201,100"	"1,20442202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1044423"	"120级金套装平分云锦"	"4"	""	""	""	"1"	"1,20442004,100"	"1,20442005,100"	"1,20442006,100"	"1,20442007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20442301,100"	"1,20442302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045200"	"160级蓝装平分"	"7"	""	""	""	"1"	"2,1045201,100"	"2,1045202,100"	"2,1045203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045201"	"160级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20521004,100"	"1,20521005,100"	"1,20521006,100"	"1,20521007,100"	""	""	""	""	"1,20521101,100"	"1,20521102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045202"	"160级蓝装平分天威"	"2"	""	""	""	"1"	"1,20521004,100"	"1,20521005,100"	"1,20521006,100"	"1,20521007,100"	""	""	""	""	""	""	""	""	"1,20521201,100"	"1,20521202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045203"	"160级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20521004,100"	"1,20521005,100"	"1,20521006,100"	"1,20521007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20521301,100"	"1,20521302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045300"	"160级紫装平分"	"7"	""	""	""	"1"	"2,1045301,100"	"2,1045302,100"	"2,1045303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045301"	"160级紫装平分转剑"	"1"	""	""	""	"1"	"1,20531004,100"	"1,20531005,100"	"1,20531006,100"	"1,20531007,100"	""	""	""	""	"1,20531101,100"	"1,20531102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045302"	"160级紫装平分天威"	"2"	""	""	""	"1"	"1,20531004,100"	"1,20531005,100"	"1,20531006,100"	"1,20531007,100"	""	""	""	""	""	""	""	""	"1,20531201,100"	"1,20531202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045303"	"160级紫装平分云锦"	"4"	""	""	""	"1"	"1,20531004,100"	"1,20531005,100"	"1,20531006,100"	"1,20531007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20531301,100"	"1,20531302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045400"	"160级金装平分"	"7"	""	""	""	"1"	"2,1045401,100"	"2,1045402,100"	"2,1045403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045401"	"160级金装平分转剑"	"1"	""	""	""	"1"	"1,20541004,100"	"1,20541005,100"	"1,20541006,100"	"1,20541007,100"	""	""	""	""	"1,20541101,100"	"1,20541102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045402"	"160级金装平分天威"	"2"	""	""	""	"1"	"1,20541004,100"	"1,20541005,100"	"1,20541006,100"	"1,20541007,100"	""	""	""	""	""	""	""	""	"1,20541201,100"	"1,20541202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045403"	"160级金装平分云锦"	"4"	""	""	""	"1"	"1,20541004,100"	"1,20541005,100"	"1,20541006,100"	"1,20541007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20541301,100"	"1,20541302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045420"	"160级金套装平分"	"7"	""	""	""	"1"	"2,1045421,100"	"2,1045422,100"	"2,1045423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045421"	"160级金套装平分转剑"	"1"	""	""	""	"1"	"1,20542004,100"	"1,20542005,100"	"1,20542006,100"	"1,20542007,100"	""	""	""	""	"1,20542101,100"	"1,20542102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045422"	"160级金套装平分天威"	"2"	""	""	""	"1"	"1,20542004,100"	"1,20542005,100"	"1,20542006,100"	"1,20542007,100"	""	""	""	""	""	""	""	""	"1,20542201,100"	"1,20542202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1045423"	"160级金套装平分云锦"	"4"	""	""	""	"1"	"1,20542004,100"	"1,20542005,100"	"1,20542006,100"	"1,20542007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20542301,100"	"1,20542302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046200"	"200级蓝装平分"	"7"	""	""	""	"1"	"2,1046201,100"	"2,1046202,100"	"2,1046203,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046201"	"200级蓝装平分转剑"	"1"	""	""	""	"1"	"1,20621004,100"	"1,20621005,100"	"1,20621006,100"	"1,20621007,100"	""	""	""	""	"1,20621101,100"	"1,20621102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046202"	"200级蓝装平分天威"	"2"	""	""	""	"1"	"1,20621004,100"	"1,20621005,100"	"1,20621006,100"	"1,20621007,100"	""	""	""	""	""	""	""	""	"1,20621201,100"	"1,20621202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046203"	"200级蓝装平分云锦"	"4"	""	""	""	"1"	"1,20621004,100"	"1,20621005,100"	"1,20621006,100"	"1,20621007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20621301,100"	"1,20621302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046300"	"200级紫装平分"	"7"	""	""	""	"1"	"2,1046301,100"	"2,1046302,100"	"2,1046303,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046301"	"200级紫装平分转剑"	"1"	""	""	""	"1"	"1,20631004,100"	"1,20631005,100"	"1,20631006,100"	"1,20631007,100"	""	""	""	""	"1,20631101,100"	"1,20631102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046302"	"200级紫装平分天威"	"2"	""	""	""	"1"	"1,20631004,100"	"1,20631005,100"	"1,20631006,100"	"1,20631007,100"	""	""	""	""	""	""	""	""	"1,20631201,100"	"1,20631202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046303"	"200级紫装平分云锦"	"4"	""	""	""	"1"	"1,20631004,100"	"1,20631005,100"	"1,20631006,100"	"1,20631007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20631301,100"	"1,20631302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046400"	"200级金装平分"	"7"	""	""	""	"1"	"2,1046401,100"	"2,1046402,100"	"2,1046403,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046401"	"200级金装平分转剑"	"1"	""	""	""	"1"	"1,20641004,100"	"1,20641005,100"	"1,20641006,100"	"1,20641007,100"	""	""	""	""	"1,20641101,100"	"1,20641102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046402"	"200级金装平分天威"	"2"	""	""	""	"1"	"1,20641004,100"	"1,20641005,100"	"1,20641006,100"	"1,20641007,100"	""	""	""	""	""	""	""	""	"1,20641201,100"	"1,20641202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046403"	"200级金装平分云锦"	"4"	""	""	""	"1"	"1,20641004,100"	"1,20641005,100"	"1,20641006,100"	"1,20641007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20641301,100"	"1,20641302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046420"	"200级金套装平分"	"7"	""	""	""	"1"	"2,1046421,100"	"2,1046422,100"	"2,1046423,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046421"	"200级金套装平分转剑"	"1"	""	""	""	"1"	"1,20642004,100"	"1,20642005,100"	"1,20642006,100"	"1,20642007,100"	""	""	""	""	"1,20642101,100"	"1,20642102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046422"	"200级金套装平分天威"	"2"	""	""	""	"1"	"1,20642004,100"	"1,20642005,100"	"1,20642006,100"	"1,20642007,100"	""	""	""	""	""	""	""	""	"1,20642201,100"	"1,20642202,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046423"	"200级金套装平分云锦"	"4"	""	""	""	"1"	"1,20642004,100"	"1,20642005,100"	"1,20642006,100"	"1,20642007,100"	""	""	""	""	""	""	""	""	""	""	""	""	"1,20642301,100"	"1,20642302,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046500"	"200级橙装平分"	"7"	""	""	""	"1"	"2,1046501,100"	"2,1046502,100"	"2,1046503,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"1046501"	"200级橙装平分转剑"	"1"	""	""	""	"1"	"1,20651004,100"	"1,20651005,100"	"1,20651006,100"	"1,20651007,100"	""	""	""	""	"1,20651101,100"	"1,20651102,100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
