"索引数字ID"	"名称（策划内部使用）"	"显示名称"	"类型0:怪1:npc2:可破坏物件3:静物4:采集物5.护送目标6.多人坐骑7.侍从"	"显示等级"	"初始化数值"	"显示头像"	"怪类型(0=普通怪,1=精英怪,2=稀有怪,3=首领怪,4=超级首领怪)"	"boss血条数"	"称谓"	"是否显示名称"	"是否显示npc/怪物血条该字段优先级大于游戏设置面板中的【显示怪物生命条】"	"是否可见"	"刚体特性.位移"	"选取特性.鼠标"	"选取特性.技能(是否可以被选中攻击目标，即是否无敌）"	"角色模型"	"缩放"	"模型放大的比率"	"移动速度"	"空闲速度"	"尺寸对位"	"技能判断点围绕着怪物进行分布。填100开头的代表两层，1000开头代表有3层"	"普通掉落"	"boss掉落(索引到BossDropConfig表)"	"掉落半径"	"屏蔽世界掉落"	"是否主动攻击"	"初始化阵营"	"ADD距离/静物触发距离"	"ADD数量/静物点击触发技能/采集物采集技能(采集距离和读条时间都由技能控制)"	"ADD延迟/采集物获得物品掉落ID"	"ADD开关（是否需要ADD别人）"	"被ADD开关（可否被ADD）"	"出生时检测是否需被ADD(用于控制怪物出生时是否寻找周围的盟友并触发进入战斗)"	"闲聊"	"交互类型（影响鼠标样式）0，无交互；1，传送门（金色）；2，传送门（蓝色）"	"传送门名称特效"	"角色功能"	"出生动画（对应ActionGroup）"	"死亡表现（对应ActionGroup）"	"死亡方式0=act1=重力"	"死后消失判断（跟刷新挂钩)"	"寿命"	"ai脚本"	"性格（索引到性格表）尽量不要乱填，去性格表里找对应模板"	"能力（索引到能力表）"	"进战斗说话"	"静物默认触发脚本"	"角色功能头顶图标无功能=0有功能=特效图标名称"	"是否被裁剪//当从屏幕外到屏幕内出现问题时多半是这个需要填成false"	"是否在交互中转向"	"场景层"	"DmaDialogShiftX,Y"	"DmaDialogEulerAngleX,Y"	"剧情中特殊的选中"	"是否修正坐标到地面"	"显示受击伤害的偏移"	"自动战斗ai攻击优先级"	"耐久值"	"破甲buff"	"破甲硬直时间"	"破甲普通掉落"	"点击语音"	"拒绝他人光环"	"脚步act"	"选中脚下光圈大小1-5共5档玩家等大=3boss=4超级大=5小动物=1or2"	"模型变色1=蓝色2=紫色3=金色4-橙色其他数字/留空=不变色"	""	""	""	""	""	""	""	""	
"34"	"怪物-花错只会普攻"	"怪物花错"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70003"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1020"	"0"	"1"	"0"	"1"	"100401"	"40000007"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"35"	"怪物-花错技能全会开场剧情用"	"怪物花错"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70003"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1020"	"0"	"1"	"0"	"1"	"100401"	"30007001"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"36"	"怪物-天如镜技能全会"	"怪物天如镜"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1030"	"0"	"1"	"0"	"1"	"100003"	"30008000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"37"	"怪物-天如镜只会普攻"	"怪物天如镜"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1030"	"0"	"1"	"0"	"1"	"100003"	"40000008"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"38"	"怪物-钟年年技能全会"	"怪物钟年年"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70006"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1040"	"0"	"1"	"0"	"1"	"200002"	"30009000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"39"	"怪物-钟年年只会普攻"	"怪物钟年年"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70006"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1040"	"0"	"1"	"0"	"1"	"200002"	"40000009"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"40"	"怪物-粉黛技能全会"	"怪物粉黛"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70011"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1090"	"0"	"1"	"0"	"1"	"200002"	"30010000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"41"	"怪物-粉黛只会普攻"	"怪物粉黛"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70011"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1090"	"0"	"1"	"0"	"1"	"200002"	"40000010"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"42"	"怪物-boss山贼首领技能全会"	"怪物山贼首领"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200002"	"1.700000"	"340"	"7.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10020"	"0"	"1"	"0"	"1"	"100004"	"35000100"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	
"43"	"怪物-boss山贼首领只会普攻"	"怪物山贼首领"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200002"	"1.700000"	"340"	"7.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10020"	"0"	"1"	"0"	"1"	"100004"	"35000101"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	
"44"	"怪物-boss山贼首领技能全会定期秒全场"	"怪物山贼首领"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200002"	"1.700000"	"340"	"7.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10020"	"0"	"1"	"0"	"1"	"100004"	"35000102"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	
"45"	"怪物-boss劫匪首领技能全会"	"怪物劫匪首领"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200003"	"1.700000"	"340"	"7.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10030"	"0"	"1"	"0"	"1"	"100009"	"35000200"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	
"46"	"怪物-boss劫匪首领只会普攻"	"怪物劫匪首领"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200003"	"1.700000"	"340"	"7.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10030"	"0"	"1"	"0"	"1"	"100009"	"35000201"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	
"47"	"怪物-boss劫匪首领技能全会定期秒全场"	"怪物劫匪首领"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200003"	"1.700000"	"340"	"7.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10030"	"0"	"1"	"0"	"1"	"100009"	"35000202"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	
"48"	"怪物-野狼技能全会"	"怪物野狼"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100002"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10040"	"1"	"1"	"0"	"1"	"100001"	"40000200"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"49"	"怪物-野狼只会普攻"	"怪物野狼"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100002"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10040"	"1"	"1"	"0"	"1"	"100001"	"40000201"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"50"	"怪物-幼蓝技能全会"	"怪物幼蓝"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70010"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1130"	"0"	"1"	"0"	"1"	"200002"	"30011000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"51"	"怪物-幼蓝只会普攻"	"怪物幼蓝"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70010"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1130"	"0"	"1"	"0"	"1"	"200002"	"40000011"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"52"	"怪物-墨香技能全会"	"怪物墨香"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70021"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1200"	"0"	"1"	"0"	"1"	"100002"	"30012000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"53"	"怪物-墨香只会普攻"	"怪物墨香"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70021"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1200"	"0"	"1"	"0"	"1"	"100002"	"40000012"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"54"	"怪物-何戢技能全会"	"怪物何戢"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70017"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1160"	"0"	"1"	"0"	"1"	"100002"	"30013000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"55"	"怪物-何戢只会普攻"	"怪物何戢"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70017"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1160"	"0"	"1"	"0"	"1"	"100002"	"40000013"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"56"	"怪物-飞贼远程技能全会"	"怪物飞贼"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100003"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10050"	"1"	"1"	"0"	"1"	"200002"	"40000300"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"57"	"怪物-飞贼远程只会普攻"	"怪物飞贼"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100003"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10050"	"1"	"1"	"0"	"1"	"200002"	"40000301"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"58"	"怪物-飞贼近战技能全会"	"怪物飞贼"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100003"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10050"	"1"	"1"	"0"	"1"	"100002"	"40000302"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"59"	"怪物-飞贼近战只会普攻"	"怪物飞贼"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100003"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10050"	"1"	"1"	"0"	"1"	"100002"	"40000303"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"60"	"怪物-云锦弟子技能全会"	"怪物云锦弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"200002"	"40000400"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"61"	"怪物-云锦弟子只会普攻"	"怪物云锦弟子"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100004"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10060"	"1"	"1"	"0"	"1"	"200002"	"40000401"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"62"	"怪物-寂然技能全会"	"怪物寂然"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70026"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1250"	"0"	"1"	"0"	"1"	"100002"	"30014000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"63"	"怪物-寂然只会普攻"	"怪物寂然"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70026"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1250"	"0"	"1"	"0"	"1"	"100002"	"40000014"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"64"	"怪物-天如月技能全会"	"怪物天如月"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70029"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1280"	"0"	"1"	"0"	"1"	"200002"	"30015000"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"65"	"怪物-天如月只会普攻"	"怪物天如月"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70029"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1280"	"0"	"1"	"0"	"1"	"200002"	"40000015"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"66"	"怪物-恒远旧部技能全会"	"怪物恒远旧部"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"1"	"1"	"0"	"1"	"200002"	"40000500"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"67"	"怪物-恒远旧部只会普攻"	"怪物恒远旧部"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"1"	"1"	"0"	"1"	"200002"	"40000501"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"68"	"怪物-boss虎王只会普攻"	"怪物虎王"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200004"	"1.000000"	"340"	"9.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10080"	"0"	"1"	"0"	"1"	"300024"	"35000300"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	
"69"	"怪物-boss虎王技能全会1-5人打"	"怪物虎王"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200004"	"1.000000"	"340"	"9.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10080"	"0"	"1"	"0"	"1"	"300024"	"35000301"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	
"70"	"怪物-boss虎王技能全会5人以上打"	"怪物虎王"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200004"	"1.000000"	"340"	"9.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10080"	"0"	"1"	"0"	"1"	"300024"	"35000302"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	
"71"	"怪物-boss虎王技能全会1-5人打定期秒全场"	"怪物虎王"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200004"	"1.000000"	"340"	"9.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10080"	"0"	"1"	"0"	"1"	"300024"	"35000303"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	
"72"	"怪物-boss虎王技能全会5人以上打定期秒全场"	"怪物虎王"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200004"	"1.000000"	"340"	"9.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10080"	"0"	"1"	"0"	"1"	"300024"	"35000304"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	
"73"	"怪物-邪道士远程技能全会"	"怪物邪道士"	"0"	"20"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100006"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	""	""	"3.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10090"	"1"	"1"	"0"	"1"	"200002"	"40000600"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
