"索引ID"	"职业区分（1丐帮，2少林，3全真）"	"索引MeridianNameConfig"	"经脉ID（命名规则为ID最后两位代表经脉所属页数，前面的ID代表该页数所属经脉,例如101代表，第一个经脉第一页）"	"本页经脉点1(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点2(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点3(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点4(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点5(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点6(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点7(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点8(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点9(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	"本页经脉点10(数值1为该点开启所需等级，数组2为该点消耗的历练值，数组3为该点点击成功几率，数值4为属性/技能区分标识，数值5为属性ID/技能ID标识，数值6为男性属性加值/技能等级加值，数值7为女性属性价值/技能等级加值)"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"225"	"1"	"7"	"705"	"252,159000,1,0,1,564,564"	"253,159300,1,0,0,16944,16944"	"253,159600,1,0,2,848,848"	"253,159900,1,0,1,566,566"	"253,160100,1,0,0,17011,17011"	"254,160400,1,0,1,568,568"	"254,160700,1,0,18,853,853"	"254,160900,1,0,16,854,854"	"254,161200,1,0,1,570,570"	"255,161500,1,0,0,17124,17124"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"226"	"1"	"7"	"706"	"255,164300,1,0,2,857,857"	"255,164500,1,0,1,572,572"	"256,164800,1,0,8,860,860"	"256,165100,1,0,0,17214,17214"	"256,165400,1,0,1,575,575"	"256,165600,1,0,10,863,863"	"257,165900,1,0,1,576,576"	"257,166200,1,0,0,17304,17304"	"257,166500,1,0,12,866,866"	"257,166800,1,0,2,867,867"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"227"	"1"	"7"	"707"	"258,169600,1,0,1,579,579"	"258,169800,1,0,14,870,870"	"258,170100,1,0,0,17416,17416"	"259,170400,1,0,1,581,581"	"259,170700,1,0,1,582,582"	"259,171000,1,0,0,17484,17484"	"259,171300,1,0,2,875,875"	"260,171500,1,0,18,876,876"	"260,171800,1,0,1,585,585"	"260,172100,1,0,16,879,879"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"228"	"1"	"7"	"708"	"260,175000,1,0,0,17596,17596"	"261,175200,1,0,1,587,587"	"261,175500,1,0,8,882,882"	"261,175800,1,0,1,589,589"	"262,176100,1,0,0,17686,17686"	"262,176400,1,0,2,885,885"	"262,176700,1,0,1,591,591"	"262,177000,1,0,10,888,888"	"263,177300,1,0,0,17776,17776"	"263,177500,1,0,1,593,593"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"229"	"1"	"7"	"709"	"263,180400,1,0,12,891,891"	"264,180700,1,0,14,892,892"	"264,181000,1,0,1,596,596"	"264,181300,1,0,0,17889,17889"	"264,181600,1,0,2,896,896"	"265,181900,1,0,1,598,598"	"265,182200,1,0,0,17957,17957"	"265,182500,1,0,1,599,599"	"266,182800,1,0,18,900,900"	"266,183100,1,0,16,901,901"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"230"	"1"	"7"	"710"	"266,186000,1,0,1,602,602"	"266,186300,1,0,0,18069,18069"	"267,186600,1,0,2,905,905"	"267,186900,1,0,1,604,604"	"267,187200,1,0,8,907,907"	"268,187500,1,0,0,18159,18159"	"268,187800,1,0,1,606,606"	"268,188100,1,0,10,910,910"	"268,188400,1,0,1,608,608"	"269,188700,1,0,0,18249,18249"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"231"	"1"	"8"	"801"	"269,191700,1,0,12,914,914"	"269,192000,1,0,2,915,915"	"270,192300,1,0,1,611,611"	"270,192600,1,0,14,917,917"	"270,192900,1,0,0,18362,18362"	"270,193200,1,0,1,613,613"	"271,193500,1,0,1,614,614"	"271,193800,1,0,0,18429,18429"	"271,194100,1,0,2,923,923"	"272,194400,1,0,18,924,924"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"232"	"1"	"8"	"802"	"272,197400,1,0,1,617,617"	"272,197700,1,0,16,926,926"	"273,198000,1,0,0,18542,18542"	"273,198300,1,0,1,619,619"	"273,198700,1,0,8,929,929"	"273,199000,1,0,1,620,620"	"274,199300,1,0,0,18632,18632"	"274,199600,1,0,2,933,933"	"274,199900,1,0,1,623,623"	"275,200200,1,0,10,935,935"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"233"	"1"	"8"	"803"	"275,203300,1,0,0,18722,18722"	"275,203600,1,0,1,625,625"	"275,203900,1,0,12,938,938"	"276,204200,1,0,14,939,939"	"276,204500,1,0,1,627,627"	"276,204800,1,0,0,18834,18834"	"277,205100,1,0,2,943,943"	"277,205400,1,0,1,629,629"	"277,205800,1,0,0,18902,18902"	"278,206100,1,0,1,631,631"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"234"	"1"	"8"	"804"	"278,209200,1,0,18,947,947"	"278,209500,1,0,16,948,948"	"278,209800,1,0,1,633,633"	"279,210100,1,0,0,19015,19015"	"279,210500,1,0,2,952,952"	"279,210800,1,0,1,635,635"	"280,211100,1,0,8,954,954"	"280,211400,1,0,0,19105,19105"	"280,211700,1,0,1,638,638"	"281,212000,1,0,10,957,957"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"235"	"1"	"8"	"805"	"281,215200,1,0,1,639,639"	"281,215500,1,0,0,19195,19195"	"282,215900,1,0,12,961,961"	"282,216200,1,0,2,962,962"	"282,216500,1,0,1,642,642"	"282,216800,1,0,14,964,964"	"283,217100,1,0,0,19307,19307"	"283,217500,1,0,1,644,644"	"283,217800,1,0,1,645,645"	"284,218100,1,0,0,19375,19375"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"236"	"1"	"8"	"806"	"284,221300,1,0,2,970,970"	"284,221700,1,0,18,971,971"	"285,222000,1,0,1,648,648"	"285,222300,1,0,16,973,973"	"285,222600,1,0,0,19487,19487"	"286,223000,1,0,1,650,650"	"286,223300,1,0,8,977,977"	"286,223600,1,0,1,652,652"	"286,223900,1,0,0,19577,19577"	"287,224300,1,0,2,980,980"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"237"	"1"	"8"	"807"	"287,227500,1,0,1,654,654"	"287,227900,1,0,10,982,982"	"288,228200,1,0,0,19667,19667"	"288,228500,1,0,1,656,656"	"288,228800,1,0,12,986,986"	"289,229200,1,0,14,987,987"	"289,229500,1,0,1,659,659"	"289,229800,1,0,0,19780,19780"	"290,230200,1,0,2,990,990"	"290,230500,1,0,1,661,661"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"238"	"1"	"8"	"808"	"290,233800,1,0,0,19847,19847"	"291,234200,1,0,1,662,662"	"291,234500,1,0,18,995,995"	"291,234800,1,0,16,996,996"	"291,235200,1,0,1,665,665"	"292,235500,1,0,0,19960,19960"	"292,235800,1,0,2,999,999"	"292,236200,1,0,1,667,667"	"293,236500,1,0,8,1001,1001"	"293,236800,1,0,0,20050,20050"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"239"	"1"	"8"	"809"	"293,240200,1,0,1,669,669"	"294,240500,1,0,10,1005,1005"	"294,240900,1,0,1,671,671"	"294,241200,1,0,0,20140,20140"	"295,241600,1,0,12,1008,1008"	"295,241900,1,0,2,1009,1009"	"295,242200,1,0,1,674,674"	"296,242600,1,0,14,1012,1012"	"296,242900,1,0,0,20253,20253"	"296,243200,1,0,1,676,676"	""	""	""	""	""	""	""	""	""	""	""	""	""	
"240"	"1"	"8"	"810"	"297,246700,1,0,1,677,677"	"297,247000,1,0,0,20320,20320"	"297,247400,1,0,2,1017,1017"	"298,247700,1,0,18,1018,1018"	"298,248000,1,0,1,680,680"	"298,248400,1,0,16,1021,1021"	"299,248700,1,0,0,20433,20433"	"299,249100,1,0,1,682,682"	"299,249400,1,0,8,1024,1024"	"300,249800,1,0,1,683,683"	""	""	""	""	""	""	""	""	""	""	""	""	""	
